author_id,name,email,orcid
31717083,Christian A. Webb,christian.a.webb@example.com,0000-0002-3171-3659
22471662,M. Hirshberg,m.hirshberg@example.com,0000-0002-2247-7812
118576023,R. Davidson,r.davidson@example.com,0000-0002-1185-2719
6383773,Simon B. Goldberg,simon.b.goldberg@example.com,0000-0002-6383-1708
2088997835,L. Szczyrba,l.szczyrba@example.com,0000-0002-2088-7908
2145957619,Yang Zhang,yang.zhang@example.com,0000-0002-2145-8108
1506808695,D. Pamukçu,d.pamukçu@example.com,0000-0002-1506-9385
2121101648,D. Eroglu,d.eroglu@example.com,0000-0002-2121-2052
2201143605,Nida Shafiq,nida.shafiq@example.com,0000-0002-2201-6122
27040249,Isma Hamid,isma.hamid@example.com,0000-0002-2704-3750
2059315329,Muhammad Asif,muhammad.asif@example.com,0000-0002-2059-9873
3406314,Qamar Nawaz,qamar.nawaz@example.com,0000-0002-3406-2399
145430043,Hanan Aljuaid,hanan.aljuaid@example.com,0000-0002-1454-8054
2065533710,Hamid Ali,hamid.ali@example.com,0000-0002-2065-4014
2085549408,Iehab Alrassan,iehab.alrassan@example.com,0000-0002-2085-1087
2165796912,Asma Alqahtani,asma.alqahtani@example.com,0000-0002-2165-2665
2233494639,Afsar P,afsar.p@example.com,0000-0002-2233-3686
2075217459,Shanid Malayil,shanid.malayil@example.com,0000-0002-2075-2788
2233502815,Aasha Verghese,aasha.verghese@example.com,0000-0002-2233-9636
2233500882,Aysha Sithara,aysha.sithara@example.com,0000-0002-2233-8579
2233500875,Amithab Pakarath,amithab.pakarath@example.com,0000-0002-2233-6403
2170117136,Bijoy,bijoy@example.com,0000-0002-2170-7718
2233501784,Ashmin K T,ashmin.k.t@example.com,0000-0002-2233-2287
122495956,Kate Donahue,kate.donahue@example.com,0000-0002-1224-1611
24194181,Kostas Kollias,kostas.kollias@example.com,0000-0002-2419-7340
144979147,Sreenivas Gollapudi,sreenivas.gollapudi@example.com,0000-0002-1449-6149
2182230504,Bruno Santos F. Silva,bruno.santos.f.silva@example.com,0000-0002-2182-2401
1405598963,Márjory Da Costa-Abreu,márjory.da.costa-abreu@example.com,0000-0002-1405-1556
2894523,Eugenio Vocaturo,eugenio.vocaturo@example.com,0000-0002-2894-2669
1757723,E. Zumpano,e.zumpano@example.com,0000-0002-1757-7729
3013763,Luciano Caroprese,luciano.caroprese@example.com,0000-0002-3013-8918
73775081,Y. Ammi,y.ammi@example.com,0000-0002-7377-5491
13231443,L. Khaouane,l.khaouane@example.com,0000-0002-1323-7168
6313540,S. Hanini,s.hanini@example.com,0000-0002-6313-7531
1829777,Abdelouahab Belazoui,abdelouahab.belazoui@example.com,0000-0002-1829-7961
31782512,Abdelmoutia Telli,abdelmoutia.telli@example.com,0000-0002-3178-4959
40442909,C. Arar,c.arar@example.com,0000-0002-4044-8256
2056721044,Xinrui Ge,xinrui.ge@example.com,0000-0002-2056-1148
46380550,Jia Yu,jia.yu@example.com,0000-0002-4638-8294
2157325472,Fei Chen,fei.chen@example.com,0000-0002-2157-4139
8550973,Fanyu Kong,fanyu.kong@example.com,0000-0002-8550-6144
40245505,Huaqun Wang,huaqun.wang@example.com,0000-0002-4024-9967
2159008991,Hannon Shepard,hannon.shepard@example.com,0000-0002-2159-9731
2159011732,Michael Young,michael.young@example.com,0000-0002-2159-5450
1936237,Billy Kihei,billy.kihei@example.com,0000-0002-1936-9612
2152950465,Mayank Gupta,mayank.gupta@example.com,0000-0002-2152-4960
2143164142,D. Ramar,d.ramar@example.com,0000-0002-2143-2422
2162152527,Rekha Vijayan,rekha.vijayan@example.com,0000-0002-2162-5176
2151682065,Nihit Gupta,nihit.gupta@example.com,0000-0002-2151-5398
2222176832,Chetanpal Singh,chetanpal.singh@example.com,0000-0002-2222-3237
2240045681,Rahul Thakkar,rahul.thakkar@example.com,0000-0002-2240-5176
2240048305,Rashikala Weerawarna,rashikala.weerawarna@example.com,0000-0002-2240-6955
2222176836,Vimal B. Patel,vimal.b.patel@example.com,0000-0002-2222-3947
26950252,B. Rajapandian,b.rajapandian@example.com,0000-0002-2695-7898
2138586155,S. Premalatha,s.premalatha@example.com,0000-0002-2138-3410
83978392,S. Sivakumar,s.sivakumar@example.com,0000-0002-8397-6391
2169004495,A. Vimonisha,a.vimonisha@example.com,0000-0002-2169-7944
2091042193,K. Abirami,k.abirami@example.com,0000-0002-2091-2243
145298798,S. Fuentes,s.fuentes@example.com,0000-0002-1452-8581
30772377,E. Tongson,e.tongson@example.com,0000-0002-3077-1011
21058844,R. Unnithan,r.unnithan@example.com,0000-0002-2105-3821
13288046,Claudia Gonzalez Viejo,claudia.gonzalez.viejo@example.com,0000-0002-1328-7993
2069693130,Sakshi Pandey,sakshi.pandey@example.com,0000-0002-2069-4321
2005143485,R. Kurniawan,r.kurniawan@example.com,0000-0002-2005-9887
8629101,Siti Norul Huda Sheikh Abdullah,siti.norul.huda.sheikh.abdullah@example.com,0000-0002-8629-7718
73715803,F. Lestari,f.lestari@example.com,0000-0002-7371-6377
3417676,M. Nazri,m.nazri@example.com,0000-0002-3417-7498
2079182611,Akhmad Mujahidin,akhmad.mujahidin@example.com,0000-0002-2079-6366
1492125410,Noridayu Adnan,noridayu.adnan@example.com,0000-0002-1492-8864
2204340369,Amira Bourechak,amira.bourechak@example.com,0000-0002-2204-1543
1873244,Ouarda Zedadra,ouarda.zedadra@example.com,0000-0002-1873-9271
3401692,M. N. Kouahla,m.n.kouahla@example.com,0000-0002-3401-7931
143627888,Antonio Guerrieri,antonio.guerrieri@example.com,0000-0002-1436-7572
1392623159,Hamid Seridi,hamid.seridi@example.com,0000-0002-1392-5417
1691577,G. Fortino,g.fortino@example.com,0000-0002-1691-8400
2191158069,Computational and Mathematical Methods in Medicine,computational.and.mathematical.methods.in.medicine@example.com,0000-0002-2191-6764
6641675,E. Heinzen,e.heinzen@example.com,0000-0002-6641-4991
2162331407,Patrick M. Wilson,patrick.m.wilson@example.com,0000-0002-2162-6616
47036346,C. Storlie,c.storlie@example.com,0000-0002-4703-7716
104322455,Gabriel Demuth,gabriel.demuth@example.com,0000-0002-1043-6533
2000725526,Shusaku W. Asai,shusaku.w.asai@example.com,0000-0002-2000-7841
2165605386,Gavin M. Schaeferle,gavin.m.schaeferle@example.com,0000-0002-2165-4971
17207036,M. Bartley,m.bartley@example.com,0000-0002-1720-3885
6622202,Rachel D. Havyer,rachel.d.havyer@example.com,0000-0002-6622-5186
2152469879,Puya Pakshad,puya.pakshad@example.com,0000-0002-2152-8889
2265207018,Alireza Shameli-Sendi,alireza.shameli-sendi@example.com,0000-0002-2265-8774
2208477977,Behzad Khalaji Emamzadeh Abbasi,behzad.khalaji.emamzadeh.abbasi@example.com,0000-0002-2208-8040
2149869703,Jie Li,jie.li@example.com,0000-0002-2149-1106
2144134706,Jinsong Wu,jinsong.wu@example.com,0000-0002-2144-5027
2118095747,Bin Hu,bin.hu@example.com,0000-0002-2118-3799
2146309367,Chonggang Wang,chonggang.wang@example.com,0000-0002-2146-7240
34665814,M. Daneshmand,m.daneshmand@example.com,0000-0002-3466-7761
2798354,R. Malekian,r.malekian@example.com,0000-0002-2798-9235
2279381005,M. Dhayanand,m.dhayanand@example.com,0000-0002-2279-2469
2260526599,M. Bharath,m.bharath@example.com,0000-0002-2260-9857
2260528322,M. P. Prabakaran,m.p.prabakaran@example.com,0000-0002-2260-8190
2278545107,M. S. vaardhini,m.s.vaardhini@example.com,0000-0002-2278-1058
2279380387,Construction Management Student,construction.management.student@example.com,0000-0002-2279-8822
38635490,Danielle Saunders,danielle.saunders@example.com,0000-0002-3863-9561
36126076,B. Byrne,b.byrne@example.com,0000-0002-3612-1061
2195639928,J. L. Aeberhard,j.l.aeberhard@example.com,0000-0002-2195-1604
48359293,Anda Radan,anda.radan@example.com,0000-0002-4835-6969
1397904342,R. Delgado-Gonzalo,r.delgado-gonzalo@example.com,0000-0002-1397-8208
2184504234,K. Strahm,k.strahm@example.com,0000-0002-2184-7810
1972387119,Halla Sigurthorsdottir,halla.sigurthorsdottir@example.com,0000-0002-1972-7983
2067749358,S. Schneider,s.schneider@example.com,0000-0002-2067-2074
2068981183,D. Surbek,d.surbek@example.com,0000-0002-2068-6070
144625909,A. Shelestov,a.shelestov@example.com,0000-0002-1446-1365
10720539,M. Lavreniuk,m.lavreniuk@example.com,0000-0002-1072-3233
144188078,V. Vasiliev,v.vasiliev@example.com,0000-0002-1441-3505
51894811,L. Shumilo,l.shumilo@example.com,0000-0002-5189-5987
49238811,A. Kolotii,a.kolotii@example.com,0000-0002-4923-3285
